Column1,Content ID,User ID,Type,Category,URL,Column2,Content ID3,User ID4,Type5,Category6,URL7,Column8,Content ID9,User ID
1,97522e57-d9ab-4bd6-97bf-c24d952602d2,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,Studying,https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2,1,97522e57-d9ab-4bd6-97bf-c24d952602d3,8d3cd87d-8a31-4935-9a4f-b319bfe05f32,photo,Studying,https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d3,2,97522e57-d9ab-4bd6-97bf-c24d952602d4,8d3cd87d-8a31-4935-9a4f-b319bfe05f33
2,9f737e0a-3cdd-4d29-9d24-753f4e3be810,beb1f34e-7870-46d6-9fc7-2e12eb83ce43,photo,healthy eating,https://socialbuzz.cdn.com/content/storage/9f737e0a-3cdd-4d29-9d24-753f4e3be810,2,9f737e0a-3cdd-4d29-9d24-753f4e3be811,beb1f34e-7870-46d6-9fc7-2e12eb83ce44,photo,healthy eating,https://socialbuzz.cdn.com/content/storage/9f737e0a-3cdd-4d29-9d24-753f4e3be811,3,9f737e0a-3cdd-4d29-9d24-753f4e3be812,beb1f34e-7870-46d6-9fc7-2e12eb83ce45
3,230c4e4d-70c3-461d-b42c-ec09396efb3f,a5c65404-5894-4b87-82f2-d787cbee86b4,photo,healthy eating,https://socialbuzz.cdn.com/content/storage/230c4e4d-70c3-461d-b42c-ec09396efb3f,3,230c4e4d-70c3-461d-b42c-ec09396efb3f,a5c65404-5894-4b87-82f2-d787cbee86b5,photo,healthy eating,https://socialbuzz.cdn.com/content/storage/230c4e4d-70c3-461d-b42c-ec09396efb3f,4,230c4e4d-70c3-461d-b42c-ec09396efb3f,a5c65404-5894-4b87-82f2-d787cbee86b6
4,356fff80-da4d-4785-9f43-bc1261031dc6,9fb4ce88-fac1-406c-8544-1a899cee7aaf,photo,technology,https://socialbuzz.cdn.com/content/storage/356fff80-da4d-4785-9f43-bc1261031dc6,4,356fff80-da4d-4785-9f43-bc1261031dc7,9fb4ce88-fac1-406c-8544-1a899cee7aaf,photo,technology,https://socialbuzz.cdn.com/content/storage/356fff80-da4d-4785-9f43-bc1261031dc7,5,356fff80-da4d-4785-9f43-bc1261031dc8,9fb4ce88-fac1-406c-8544-1a899cee7aaf
5,01ab84dd-6364-4236-abbb-3f237db77180,e206e31b-5f85-4964-b6ea-d7ee5324def1,video,food,https://socialbuzz.cdn.com/content/storage/01ab84dd-6364-4236-abbb-3f237db77180,5,01ab84dd-6364-4236-abbb-3f237db77181,e206e31b-5f85-4964-b6ea-d7ee5324def2,video,food,https://socialbuzz.cdn.com/content/storage/01ab84dd-6364-4236-abbb-3f237db77181,6,01ab84dd-6364-4236-abbb-3f237db77182,e206e31b-5f85-4964-b6ea-d7ee5324def3
6,3f8590c7-6ab2-4973-805a-90cdec355f05,ae600af5-c1f0-4b1f-adb0-1b4c246373e4,video,dogs,https://socialbuzz.cdn.com/content/storage/3f8590c7-6ab2-4973-805a-90cdec355f05,7,3f8590c7-6ab2-4973-805a-90cdec355f06,ae600af5-c1f0-4b1f-adb0-1b4c246373e5,video,dogs,https://socialbuzz.cdn.com/content/storage/3f8590c7-6ab2-4973-805a-90cdec355f06,8,3f8590c7-6ab2-4973-805a-90cdec355f07,ae600af5-c1f0-4b1f-adb0-1b4c246373e6
7,e5490118-90d5-4572-ab1c-1fbc87b8d9ca,583f2bde-886d-4cf3-a5c4-7cb60cd25df3,video,technology,https://socialbuzz.cdn.com/content/storage/e5490118-90d5-4572-ab1c-1fbc87b8d9ca,8,e5490118-90d5-4572-ab1c-1fbc87b8d9ca,583f2bde-886d-4cf3-a5c4-7cb60cd25df4,video,technology,https://socialbuzz.cdn.com/content/storage/e5490118-90d5-4572-ab1c-1fbc87b8d9ca,9,e5490118-90d5-4572-ab1c-1fbc87b8d9ca,583f2bde-886d-4cf3-a5c4-7cb60cd25df5
8,0bedca96-fb76-4287-a83c-17330ed39cce,2bd9c167-e06c-47c1-a978-3403d6724606,photo,soccer,https://socialbuzz.cdn.com/content/storage/0bedca96-fb76-4287-a83c-17330ed39cce,9,0bedca96-fb76-4287-a83c-17330ed39cce,2bd9c167-e06c-47c1-a978-3403d6724607,photo,soccer,https://socialbuzz.cdn.com/content/storage/0bedca96-fb76-4287-a83c-17330ed39cce,10,0bedca96-fb76-4287-a83c-17330ed39cce,2bd9c167-e06c-47c1-a978-3403d6724608
9,b18cb63f-4c8e-44ee-a47f-541e95191d11,13f0db8a-152a-496f-a6e8-1ed6a90b8788,photo,public speaking,https://socialbuzz.cdn.com/content/storage/b18cb63f-4c8e-44ee-a47f-541e95191d11,10,b18cb63f-4c8e-44ee-a47f-541e95191d12,13f0db8a-152a-496f-a6e8-1ed6a90b8789,photo,public speaking,https://socialbuzz.cdn.com/content/storage/b18cb63f-4c8e-44ee-a47f-541e95191d12,11,b18cb63f-4c8e-44ee-a47f-541e95191d13,13f0db8a-152a-496f-a6e8-1ed6a90b8790
10,46fb701d-6c26-458e-ada3-2ebe5dbba01f,4fe1900d-5e78-41a3-88ed-18e6889c6c77,audio,public speaking,https://socialbuzz.cdn.com/content/storage/46fb701d-6c26-458e-ada3-2ebe5dbba01f,12,46fb701d-6c26-458e-ada3-2ebe5dbba01f,4fe1900d-5e78-41a3-88ed-18e6889c6c78,audio,public speaking,https://socialbuzz.cdn.com/content/storage/46fb701d-6c26-458e-ada3-2ebe5dbba01f,13,46fb701d-6c26-458e-ada3-2ebe5dbba01f,4fe1900d-5e78-41a3-88ed-18e6889c6c79
